leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n314,11,6949800,n740,0.9927536231884059,6912000,0.056848781179138275,1.0,6912000,0.6770833333333333
n315,11,898200,n752,0.9926470588235294,864000,0.042997537556689336,0.8333333333333333,864000,0.6889880952380952
n320,11,3242700,n722,0.9925373134328358,3196800,0.03618817318594103,0.9,3196800,0.6964285714285714
n321,11,2152800,n752,0.9925373134328358,2160000,0.04129907171201819,0.75,2073600,0.7544642857142857
n323,11,5633100,n722,1.0,5616000,0.0505664505385488,0.8,5616000,0.7142857142857143
n325,11,2444400,n752,0.9925373134328358,2419200,0.040643601190476164,0.75,2419200,0.7247023809523809
n327,11,5521500,n769,0.9425373134328358,5529600,0.04035129676870752,0.85,5529600,0.7217261904761905
n329,11,1362600,n769,0.9925373134328358,1382400,0.03148694373582772,0.85,1296000,0.7604166666666666
n330,11,3212100,n769,0.9925373134328358,3196800,0.040194072420634885,0.8,3196800,0.7366071428571428
n331,11,6355800,n769,1.0,6393600,0.0667605583900226,0.85,6307200,0.7366071428571428
n333,11,4732200,n332,0.9925373134328358,4752000,0.06139500070861681,0.7,4752000,0.7842261904761905
n335,11,7122600,n342,0.75,7084800,0.3298699688208616,0.5,7171200,0.84375
n336,11,7053300,n495,0.5,5788800,0.4527064732142858,0.5,777600,0.8571428571428572
n338,11,3600900,n342,0.85,3715200,0.29066353103741494,0.5,3542400,0.8258928571428572
n339,11,5180400,n342,0.9,5184000,0.27161502621882083,0.5,5270400,0.8303571428571428
n340,11,6129900,n429,0.7,6134400,0.34177915958049887,0.5,6134400,0.8363095238095238
n345,11,1744200,n31,0.85,1728000,0.32076645762471656,0.6,1728000,0.8080357142857143
n346,11,2349900,n31,0.6,2419200,0.39382706207482987,0.55,2332800,0.8229166666666666
n347,11,6978600,n1,1.0,6998400,0.020609676162131607,0.875,6998400,0.6964285714285714
n349,11,1802700,n1,0.9925373134328358,1814400,0.014564289257369634,0.65,1814400,0.7827380952380952
n351,11,6501600,n1,0.95,6480000,0.06541418650793662,0.65,6480000,0.7946428571428572
n354,11,6581700,n31,0.85,6566400,0.22577194940476186,0.5,6566400,0.8497023809523809
n356,11,1909800,n4,0.85,1900800,0.3091097115929705,0.65,1900800,0.7946428571428572
n358,11,7102800,n1,1.0,7084800,0.24076140873015872,0.5,777600,0.8571428571428572
n360,11,3644100,n31,0.7,3542400,0.36803784013605445,0.55,3542400,0.8214285714285714
n363,11,787500,n31,0.875,777600,0.2722151360544217,0.8125,864000,0.7589285714285714
n366,11,1926900,n31,0.65,1900800,0.36946614583333326,0.65,1900800,0.7916666666666666
n371,11,6034500,n31,0.85,6134400,0.3074688208616779,0.5,5702400,0.8333333333333334
n372,11,3053700,n31,0.5,2937600,0.4119897959183674,0.65,3024000,0.7931547619047619
n373,11,6372900,n31,0.7,6393600,0.35506793863378683,0.5,6393600,0.8467261904761905
n375,11,3639600,n31,0.7925373134328358,3628800,0.29456978103741505,0.5,3542400,0.8288690476190477
n378,11,6518700,n31,0.7,6566400,0.32917463860544205,0.5,6480000,0.8452380952380952
n380,11,5543100,n31,0.7,5443200,0.35720486111111094,0.7,5529600,0.7931547619047619
n381,11,6975000,n31,1.0,6998400,0.28473550878684817,0.5,777600,0.8571428571428572
n383,11,6023700,n31,0.9,6048000,0.322451636904762,0.55,5961600,0.8244047619047619
n388,11,6581700,n54,0.55,6566400,0.38331960388321995,0.5,6566400,0.84375
n390,11,2433600,n54,0.9425373134328358,2419200,0.0366532029478458,0.75,2419200,0.7202380952380952
n392,11,2571300,n54,0.85,2592000,0.2726868090986394,0.65,2592000,0.7797619047619048
n394,11,1778400,n54,0.9925373134328358,1814400,0.04982683177437641,0.75,1814400,0.7172619047619048
n396,11,6409800,n410,0.9925373134328358,6393600,0.0271289505385488,0.8,6393600,0.7916666666666666
n398,11,5774400,n410,0.9925373134328358,5788800,0.05585007440476186,0.85,5788800,0.7291666666666667
n401,11,1401300,n410,0.9925373134328358,1382400,0.005992240646258473,0.9,1382400,0.7291666666666667
n403,11,3424500,n410,1.0,3456000,0.03021807681405897,0.8,3456000,0.7380952380952381
n405,11,7034400,n54,0.5714285714285714,6998400,0.3981319090136054,0.5,777600,0.8571428571428572
n408,11,890100,n54,0.5,777600,0.40713798540249435,0.8333333333333333,1036800,0.75
n409,11,6934500,n410,0.9927536231884059,6912000,0.01587523030045357,0.875,6912000,0.7782738095238095
n410,11,4074300,n410,0.9925373134328358,4060800,0.005234906462584954,0.85,4060800,0.7321428571428572
n412,11,2244600,n415,0.7,2246400,0.35749937996031744,0.55,2246400,0.8184523809523809
n414,11,2075400,n54,0.55,2073600,0.3953948767006803,0.65,2073600,0.8005952380952381
n416,11,6624900,n410,0.9925373134328358,6652800,0.026949581916099863,0.75,6652800,0.7529761904761905
n418,11,3997800,n54,0.5,4060800,0.4069298292233561,0.5,3974400,0.8541666666666666
n421,11,3182400,n429,0.75,3110400,0.3741563031462585,0.55,3196800,0.8169642857142857
n423,11,2854800,n429,0.75,2851200,0.3319626027494331,0.6,2851200,0.8005952380952381
n426,11,6653700,n54,0.5,6652800,0.4047862634637188,0.5,6652800,0.8526785714285714
n427,11,6468300,n429,0.55,6480000,0.39543030753968256,0.5,6566400,0.8526785714285714
n429,11,7028100,n429,0.5714285714285714,6998400,0.3891612634637188,0.5,777600,0.8571428571428572
n431,11,2282400,n429,0.5,2332800,0.40153105513038545,0.5,2246400,0.8333333333333334
n433,11,2248200,n429,0.55,2246400,0.39375620039682535,0.5,2246400,0.8333333333333334
n435,11,778500,n519,0.8125,777600,0.272664664824263,0.875,777600,0.7723214285714286
n439,11,5470200,n458,0.8,5443200,0.327952274659864,0.55,5443200,0.7916666666666666
n441,11,2028600,n458,0.65,2073600,0.369468360260771,0.6,1987200,0.8095238095238095
n444,11,3542400,n458,0.95,3542400,0.1968913867630384,0.6,3542400,0.7976190476190477
n445,11,3024900,n519,0.95,3024000,0.1447615504535148,0.65,3024000,0.8050595238095238
n446,11,2658600,n458,0.85,2678400,0.25434249220521543,0.6,2592000,0.8199404761904762
n448,11,6976800,n458,0.9375,6998400,0.1020828904478458,0.5,7171200,0.8526785714285714
n451,11,1116000,n429,0.55,1036800,0.3980034722222223,0.85,1123200,0.7529761904761905
n452,11,6306300,n458,1.0,6307200,0.12573518990929688,0.5,6307200,0.8288690476190477
n455,11,2662200,n342,0.75,2678400,0.3355034722222221,0.5,2678400,0.8363095238095238
n457,11,3193200,n342,0.8,3196800,0.2754858453798186,0.5,3196800,0.8318452380952381
n459,11,5334300,n458,1.0,5356800,0.0578209148242631,0.65,5356800,0.7708333333333334
n461,11,4360500,n429,0.65,4320000,0.3652410182823129,0.6,4320000,0.8065476190476191
n463,11,3551400,n342,0.9,3542400,0.2714688740079364,0.55,3542400,0.8125
n465,11,5614200,n342,0.9,5616000,0.233774890164399,0.65,5702400,0.8035714285714286
n466,11,6824700,n342,0.85,6825600,0.23787158092403637,0.5,6739200,0.8482142857142857
n469,11,4557600,n469,0.9925373134328358,4579200,0.02631404124149661,0.9,4579200,0.6636904761904762
n471,11,3045600,n469,0.9925373134328358,3024000,0.017677774234693855,0.9,3024000,0.6741071428571428
n476,11,808200,n495,1.0,777600,0.0712779903628118,0.8125,777600,0.7276785714285714
n478,11,1454400,n105,0.9925373134328358,1468800,0.024095184948979664,0.75,1468800,0.7693452380952381
n480,11,7070400,n114,1.0,7084800,0.024075255102040893,0.7857142857142857,7171200,0.7351190476190477
n485,11,2529900,n114,0.9925373134328358,2505600,0.02774234693877553,0.8,2505600,0.7038690476190477
n486,11,1920600,n114,0.9925373134328358,1900800,0.017529407596371782,0.85,1900800,0.6592261904761905
n487,11,4885200,n114,0.9850746268656717,4924800,0.031925400368480794,0.9,4838400,0.7083333333333333
